T1,T2,T1 PTS,T2 PTS,T1 FGA,T1 FGM,T2 FGA,T2 FGM,T1 PCT,T2 PCT,RESULT,DIFF
DePauw2021,Wabash2021,72,81,57,24,49,29,0.4210526316,0.5918367347,0,-9
DePauw2021,Ohio Wesleyan2021,65,74,53,20,48,24,0.3773584906,0.5,0,-9
DePauw2021,Ohio Wesleyan2021,81,71,52,27,61,28,0.5192307692,0.4590163934,1,10
DePauw2021,Wooster2021,59,75,60,24,52,28,0.4,0.5384615385,0,-16
Wooster2022,Mount Aloysius2022,86,56,65,31,55,19,0.4769230769,0.3454545455,1,30
Wooster2022,Ohio Northern2022,72,57,61,30,53,19,0.4918032787,0.358490566,1,15
Wooster2022,Mount Union2022,76,94,59,24,56,30,0.406779661,0.5357142857,0,-18
Wooster2022,Hiram2022,87,73,69,34,57,29,0.4927536232,0.5087719298,1,14
Wooster2022,DePauw2022,68,54,60,27,49,16,0.45,0.3265306122,1,14
Wooster2022,Ohio Wesleyan2022,73,52,54,29,57,19,0.537037037,0.3333333333,1,21
Wooster2022,Rochester (NY)2022,80,91,59,30,48,32,0.5084745763,0.6666666667,0,-11
Wooster2021,Saint Vincent2021,75,57,69,26,57,20,0.3768115942,0.350877193,1,18
Wooster2021,Ripon2021,83,71,60,30,55,25,0.5,0.4545454545,1,12
Wooster2021,Mount Union2021,68,81,61,25,64,34,0.4098360656,0.53125,0,-13
Wooster2021,Oberlin2021,62,51,57,24,62,20,0.4210526316,0.3225806452,1,11
Wooster2021,DePauw2021,73,59,56,29,62,22,0.5178571429,0.3548387097,1,14
Wooster2021,Allegheny2021,77,60,71,30,64,23,0.4225352113,0.359375,1,17
Wooster2021,Hiram2021,82,53,57,28,52,16,0.4912280702,0.3076923077,1,29
Wooster2021,UC Santa Cruz2021,80,71,59,29,64,30,0.4915254237,0.46875,1,9
Wooster2021,Lewis & Clark2021,67,72,59,24,51,23,0.406779661,0.4509803922,0,-5
Wooster2021,Lynchburg2021,88,78,63,25,71,31,0.3968253968,0.4366197183,1,10
Wooster2021,Muskingum2021,66,68,58,22,66,27,0.3793103448,0.4090909091,0,-2
Wooster2021,Ohio Wesleyan2021,81,82,64,26,56,29,0.40625,0.5178571429,0,-1
Wooster2021,Kenyon2021,91,77,66,34,69,33,0.5151515152,0.4782608696,1,14
Wooster2021,Wittenberg2021,83,80,67,33,57,27,0.4925373134,0.4736842105,1,3
Wooster2021,Denison2021,75,60,61,32,53,21,0.5245901639,0.3962264151,1,15
Wooster2021,DePauw2021,78,69,61,31,54,22,0.5081967213,0.4074074074,1,9
Wooster2021,Oberlin2021,69,63,58,24,53,25,0.4137931034,0.4716981132,1,6
Wooster2021,Hiram2021,81,83,65,27,71,32,0.4153846154,0.4507042254,0,-2
Wooster2021,Wabash2021,80,94,64,26,52,28,0.40625,0.5384615385,0,-14
Wooster2021,Kenyon2021,84,57,68,38,61,22,0.5588235294,0.3606557377,1,27
Wooster2021,Ohio Wesleyan2021,74,69,69,30,61,28,0.4347826087,0.4590163934,1,5
Wooster2021,Allegheny2021,65,76,64,29,66,28,0.453125,0.4242424242,0,-11
Wooster2021,Wabash2021,75,97,65,29,65,33,0.4461538462,0.5076923077,0,-22
Wooster2021,Denison2021,67,56,59,28,55,19,0.4745762712,0.3454545455,1,11
Wooster2021,Wittenberg2021,77,57,52,30,50,18,0.5769230769,0.36,1,20
Wooster2021,Allegheny2021,86,79,61,31,66,29,0.5081967213,0.4393939394,1,7
Wooster2021,DePauw2021,75,59,52,28,60,24,0.5384615385,0.4,1,16
Wooster2021,Wabash2021,84,85,66,33,66,30,0.5,0.4545454545,0,-1
Ohio Wesleyan2022,Buffalo St.2022,79,63,67,33,59,25,0.4925373134,0.4237288136,1,16
Ohio Wesleyan2022,John Carroll2022,55,70,58,21,62,27,0.3620689655,0.435483871,0,-15
